,20,40,60,80,100
704.0,,1.6118753255e-05,1.84512673443e-05,2.0747440752e-05,2.27861350522e-05
703.0,,1.61120349805e-05,1.84468600267e-05,2.07494575049e-05,2.27941182891e-05
702.0,1.33889732658e-05,1.61051963491e-05,1.84423579702e-05,2.07514016117e-05,2.28020534929e-05
701.0,1.33744763435e-05,1.60982365753e-05,1.84418056996e-05,2.07532724601e-05,2.28099401476e-05
700.0,1.33598473596e-05,1.60911548709e-05,1.84424417086e-05,2.07550694241e-05,2.28177777312e-05
699.0,1.33450857303e-05,1.60839504412e-05,1.84429792566e-05,2.07567918692e-05,2.28255657181e-05
698.0,1.33301908731e-05,1.60766224903e-05,1.84434175393e-05,2.07584391777e-05,2.28333035805e-05
697.0,1.33151622032e-05,1.6069170221e-05,1.84437557485e-05,2.07600107023e-05,2.28409907779e-05
696.0,1.32999991413e-05,1.60615928241e-05,1.84439930634e-05,2.07615058054e-05,2.28486267803e-05
695.0,1.32847011072e-05,1.6053889497e-05,1.84441286686e-05,2.0762923836e-05,2.28562110344e-05
694.0,1.3269267517e-05,1.60460594301e-05,1.84441617344e-05,2.07642641531e-05,2.28637429935e-05
693.0,1.32536977947e-05,1.60381018043e-05,1.84440914272e-05,2.07655260919e-05,2.28712221047e-05
692.0,1.32379913608e-05,1.60300158082e-05,1.84439169105e-05,2.0766708999e-05,2.28786478138e-05
691.0,1.32221476397e-05,1.60218006158e-05,1.84436373388e-05,2.07678122051e-05,2.2886019552e-05
690.0,1.32061660553e-05,1.60134554043e-05,1.84432518631e-05,2.07688350426e-05,2.28933367525e-05
689.0,1.3190046032e-05,1.60049793482e-05,1.84427596254e-05,2.07697768304e-05,2.29005988395e-05
688.0,1.31737869975e-05,1.59963716133e-05,1.84421597646e-05,2.0770636898e-05,2.29078052428e-05
687.0,1.31573883789e-05,1.59876313642e-05,1.84414514166e-05,2.07714145561e-05,2.29149553693e-05
686.0,1.31408496076e-05,1.59787577653e-05,1.84406336996e-05,2.07721091115e-05,2.29220486415e-05
685.0,1.31241701135e-05,1.59697499733e-05,1.84397057438e-05,2.07727198771e-05,2.29290844547e-05
684.0,1.31073493303e-05,1.59606071462e-05,1.84386666554e-05,2.07732461498e-05,2.29360622188e-05
683.0,1.30903866915e-05,1.59513284322e-05,1.84375155469e-05,2.07736872215e-05,2.29429813318e-05
682.0,1.30732816331e-05,1.59419129803e-05,1.84362515203e-05,2.07740423861e-05,2.29498411735e-05
681.0,1.30560335969e-05,1.59323599401e-05,1.84348736731e-05,2.07743109284e-05,2.29566411391e-05
680.0,1.30386420202e-05,1.59226684503e-05,1.8433381092e-05,2.07744921251e-05,2.29633806088e-05
679.0,1.30211063464e-05,1.59128376504e-05,1.84317728645e-05,2.07745852561e-05,2.29700589594e-05
678.0,1.30034260191e-05,1.59028666758e-05,1.84300480644e-05,2.0774589585e-05,2.29766755537e-05
677.0,1.29856004872e-05,1.58927546616e-05,1.8428205768e-05,2.07745043816e-05,2.29832297629e-05
676.0,1.29676291983e-05,1.5882500735e-05,1.8426245041e-05,2.07743289014e-05,2.29897209417e-05
675.0,1.29495116049e-05,1.58721040238e-05,1.84241649411e-05,2.07740623987e-05,2.29961484438e-05
674.0,1.29312471597e-05,1.58615636503e-05,1.84219645216e-05,2.0773704123e-05,2.30025116201e-05
673.0,1.2912835323e-05,1.58508787366e-05,1.8419642829e-05,2.07732533164e-05,2.30088098095e-05
672.0,1.2894275552e-05,1.58400483998e-05,1.84171989051e-05,2.07727092187e-05,2.30150423542e-05
671.0,1.28755673089e-05,1.58290717562e-05,1.84146317823e-05,2.07720710564e-05,2.30212085771e-05
670.0,1.28567100618e-05,1.58179479143e-05,1.84119404933e-05,2.07713380627e-05,2.30273078107e-05
669.0,1.28377032769e-05,1.58066759842e-05,1.8409124055e-05,2.07705094566e-05,2.30333393711e-05
668.0,1.28185464279e-05,1.57952550752e-05,1.84061814863e-05,2.07695844528e-05,2.30393025694e-05
667.0,1.27992389888e-05,1.57836842871e-05,1.84031117962e-05,2.07685622647e-05,2.30451967138e-05
666.0,1.27797804379e-05,1.57719627225e-05,1.83999139846e-05,2.07674420914e-05,2.30510211099e-05
665.0,1.27601702582e-05,1.57600894772e-05,1.83965870488e-05,2.07662231385e-05,2.30567750533e-05
664.0,1.27404079347e-05,1.57480636516e-05,1.8393129981e-05,2.07649045935e-05,2.30624578273e-05
663.0,1.27204929569e-05,1.57358843348e-05,1.83895417618e-05,2.07634856516e-05,2.30680687205e-05
662.0,1.27004248184e-05,1.57235506199e-05,1.838582137e-05,2.07619654904e-05,2.30736070104e-05
661.0,1.26802030167e-05,1.57110615921e-05,1.8381967775e-05,2.07603432849e-05,2.30790719679e-05
660.0,1.26598270513e-05,1.56984163392e-05,1.83779799432e-05,2.07586182116e-05,2.30844628578e-05
659.0,1.263929643e-05,1.56856139452e-05,1.83738568294e-05,2.07567894304e-05,2.30897789355e-05
658.0,1.26186106621e-05,1.56726534892e-05,1.83695973844e-05,2.07548561052e-05,2.30950194548e-05
657.0,1.25977692614e-05,1.56595340518e-05,1.83652005547e-05,2.07528173853e-05,2.31001836622e-05
656.0,1.25767717473e-05,1.564625471e-05,1.83606652765e-05,2.07506724232e-05,2.31052708001e-05
655.0,1.25556176429e-05,1.56328145377e-05,1.83559904835e-05,2.07484203554e-05,2.31102801007e-05
654.0,1.25343064765e-05,1.56192126068e-05,1.83511750979e-05,2.07460603223e-05,2.31152107846e-05
653.0,1.25128377822e-05,1.56054479893e-05,1.83462180396e-05,2.07435914529e-05,2.31200620782e-05
652.0,1.24912110992e-05,1.55915197535e-05,1.83411182193e-05,2.07410128676e-05,2.31248331907e-05
651.0,1.24694259715e-05,1.55774269666e-05,1.8335874542e-05,2.07383236904e-05,2.31295233298e-05
650.0,1.24474819466e-05,1.55631686942e-05,1.83304859047e-05,2.07355230332e-05,2.31341316975e-05
649.0,1.24253785795e-05,1.55487440002e-05,1.83249512043e-05,2.07342926386e-05,2.3138657485e-05
648.0,1.24031154315e-05,1.55341519454e-05,1.83192693195e-05,2.07374839472e-05,2.31430998775e-05
647.0,1.23806920684e-05,1.55193915916e-05,1.83134391338e-05,2.0740560723e-05,2.31474580541e-05
646.0,1.2358108063e-05,1.55044619982e-05,1.83074595158e-05,2.07435218932e-05,2.31517311915e-05
645.0,1.23353629919e-05,1.54893622204e-05,1.83013293336e-05,2.07463663653e-05,2.31559184479e-05
644.0,1.2312456441e-05,1.54740913176e-05,1.82950474421e-05,2.07490930499e-05,2.31600189879e-05
643.0,1.22893880014e-05,1.54586483445e-05,1.82886126979e-05,2.07517008422e-05,2.31640319562e-05
642.0,1.22661572692e-05,1.54430323537e-05,1.82820239426e-05,2.07541886316e-05,2.31679565049e-05
641.0,1.22427638482e-05,1.54272424007e-05,1.82752800166e-05,2.07565552939e-05,2.31717917629e-05
640.0,1.22192073509e-05,1.54112775381e-05,1.8268379751e-05,2.07587997014e-05,2.31755368639e-05
639.0,1.21954873933e-05,1.53951368142e-05,1.82613219747e-05,2.07609207145e-05,2.31791909314e-05
638.0,1.21716036016e-05,1.53788192829e-05,1.82541054996e-05,2.07629171834e-05,2.31827530731e-05
637.0,1.21475556085e-05,1.53623239918e-05,1.82467291427e-05,2.07647879507e-05,2.3186222404e-05
636.0,1.21233430523e-05,1.53456499933e-05,1.82391917112e-05,2.07665318491e-05,2.31895980167e-05
635.0,1.20989655816e-05,1.53287963342e-05,1.82314920015e-05,2.07681477036e-05,2.31928790084e-05
